,Name,Team,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Mean,Std,Median,5th,16th,84th,95th
434,Izak Rankine,Adelaide,19.952179021141227,19.450233817422028,19.61910098062517,19.565694746080265,19.55240713109164,19.70575038161254,19.7392217242968,19.099944038696552,19.39097542865085,19.305671249107196,19.834653436630624,19.56507563230499,0.24553098417944016,19.565694746080265,19.192521283381343,19.35600071503795,19.77834872635367,19.899292508111454
324,Jordan Dawson,Adelaide,19.111078262255447,18.911917009466244,18.77019346600566,18.99740114759551,19.212671330190453,19.06233866318309,19.132079667443154,18.582587884307916,19.070943411691182,18.845906845081725,19.259889538678927,18.996091565990845,0.20245002176033297,19.06233866318309,18.667010396071902,18.81486435966054,19.165122249169546,19.238641344859115
314,Wayne Milera,Adelaide,8.246080831870321,8.154323401961758,7.956924280101034,8.116411937413355,8.163319882049947,8.212781375532726,8.120525849346963,8.19308085723283,8.06261224562534,8.094983820930425,8.239700905897864,8.141885944360233,0.08513850539753726,8.154323401961758,8.004483864586971,8.08171147505534,8.223818382982433,8.243209865182715
318,Sam Berry,Adelaide,8.32435375971826,8.147767144106622,8.06876679583111,8.124360474749436,8.00450347909359,8.118952992434409,8.147732809921276,8.017934170408688,8.067485936208994,8.05438732792761,8.166555851741006,8.112981885649184,0.08853858875038617,8.118952992434409,8.010547290185384,8.039441533344853,8.155470514236718,8.253344701128496
319,Josh Rachele,Adelaide,4.7188633753472,4.596217279409154,4.590490253552909,4.589311601739654,4.423522642755628,4.603729605286438,4.468041697524522,4.779965026850891,4.6754559990442734,4.699740606188418,4.532660663036108,4.607090795521382,0.10720511629162684,4.596217279409154,4.44355621740163,4.506166887176358,4.707580941543519,4.75246928367423
315,Riley Thilthorpe,Adelaide,3.4726672035119344,3.643571309676437,3.6052441432938456,3.458040671449782,3.7350022666681046,3.4607086300991647,3.6159696486226047,3.5556812594336313,3.606238656991806,3.605477020606648,3.672964512623556,3.58468775663432,0.08997363847205145,3.605477020606648,3.4592412528420042,3.4677641884126986,3.6556225228847556,3.7070852773480576
323,Taylor Walker,Adelaide,3.3455220954948794,3.6612131603984057,3.5277672961227324,3.4428973559724763,3.5813907388973525,3.589892984953427,3.5254069407768447,3.5984330232278596,3.553918445517657,3.470857681451689,3.4837472548972688,3.525549725246417,0.08704284389729569,3.5277672961227324,3.389340962709798,3.4593939480052116,3.5933944006459444,3.6329620986716598
328,Darcy Fogarty,Adelaide,2.752283500036752,2.740790197950968,2.6426013125417263,2.630671761345888,2.72885503961064,2.743123957206626,2.6941294167978795,2.6897895614312453,2.7735749401419247,2.796577484557822,2.729058893488881,2.720132369555486,0.05143529013126385,2.729058893488881,2.6360400593840154,2.6704423793865426,2.761012990479873,2.786226339570668
322,James Peatling,Adelaide,2.64896318705871,2.4719891817197883,2.539803336532543,2.6435027527508423,2.526846793388461,2.6658118760236214,2.513422364849989,2.4724524967331982,2.6376027561383815,2.628415224130575,2.5236425191311933,2.5702229534961187,0.07486347431630395,2.539803336532543,2.4721976734758226,2.4966247189221047,2.645741530817068,2.658229965989411
326,Lachlan McAndrew,Adelaide,1.9536456879309618,2.138477859561257,2.2601227357813376,2.189156155989728,2.5937855418157647,2.126228835583633,2.13850695891541,2.129809834432224,2.2052733146710515,2.2756865620786564,2.1031560949401666,2.1921681437909264,0.15870895753622052,2.13850695891541,2.020925371085104,2.116769011919812,2.2665039045632382,2.450641000934066
