,PlayerName,Team,ExpectedVotes
657,Izak Rankine,Adelaide,18.775095985810257
659,Jordan Dawson,Adelaide,18.77235183152514
629,Wayne Milera,Adelaide,7.898201499658639
618,Sam Berry,Adelaide,7.61387954997751
599,Josh Rachele,Adelaide,4.927242550559243
586,Riley Thilthorpe,Adelaide,3.683399789647555
553,Darcy Fogarty,Adelaide,2.8197185929569892
589,Taylor Walker,Adelaide,2.3200970850410343
475,James Peatling,Adelaide,2.148456054640797
492,Rory Laird,Adelaide,1.7030343653380107
535,Mark Keane,Adelaide,1.650808151456188
483,Lachlan McAndrew,Adelaide,1.5539480997075792
512,Daniel Curtin,Adelaide,1.1198592341163034
234,Josh Worrell,Adelaide,1.0900885170341859
8,Alex Neal-Bullen,Adelaide,0.8708510489252668
33,Ben Keays,Adelaide,0.8669948766215492
49,Brayden Cook,Adelaide,0.6652164684748729
193,Jake Soligo,Adelaide,0.5681841532716833
282,Luke Nankervis,Adelaide,0.29496060340756225
147,Hugo Hall-Kahan,Adelaide,0.2715330926377295
407,Toby Murray,Adelaide,0.25332295574459096
151,Isaac Cumming,Adelaide,0.24547006696710216
37,Billy Dowling,Adelaide,0.1961003876877364
311,Max Michalanney,Adelaide,0.19474256826127512
226,Jordon Butts,Adelaide,0.16640059480436642
453,Zac Taylor,Adelaide,0.1506205867036059
195,James Borlase,Adelaide,0.1193445828862576
336,Nick Murray,Adelaide,0.07911664116724904
59,Callum Ah Chee,Adelaide,0.05881171277278019
283,Luke Pedlar,Adelaide,0.05659949403114406
353,Oscar Ryan,Adelaide,0.04624476807162137
145,Hugh Bond,Adelaide,0.018591635061827372
74,Chayce Jones,Adelaide,0.01834223548405467
360,Reilly OBrien,Adelaide,0.015245438385474097
71,Charlie Edwards,Adelaide,0.014931254585971998
117,Finnbar Maley,Adelaide,0.014579304523730019
22,Archie Ludowyke,Adelaide,0.005286305184790008
322,Mitchell Hinge,Adelaide,0.002800928690556481
664,Will Ashcroft,Brisbane,23.737343942807787
651,Lachie Neale,Brisbane,18.569931132642665
643,Zac Bailey,Brisbane,11.318370254046973
608,Logan Morris,Brisbane,6.02831492241787
583,Kai Lohmann,Brisbane,4.32650988278824
577,Darcy Wilmot,Brisbane,3.4078947298319084
555,Hugh McCluggage,Brisbane,3.3103750928546085
557,Jarrod Berry,Brisbane,2.815203458261478
529,Josh Dunkley,Brisbane,2.771662519487873
578,Harris Andrews,Brisbane,2.351140004744453
531,Levi Ashcroft,Brisbane,1.9657671264890162
102,Dayne Zorko,Brisbane,1.9120558436678161
508,Charlie Cameron,Brisbane,1.6754151982869552
544,Ryan Lester,Brisbane,1.308586904148568
63,Cam Rayner,Brisbane,0.8783529119565057
383,Sam Draper,Brisbane,0.6123009835472815
204,Jaspa Fletcher,Brisbane,0.6021942888274074
84,Conor McKenna,Brisbane,0.34313866910789803
55,Bruce Reville,Brisbane,0.28016363481262496
242,Keidean Coleman,Brisbane,0.27487313026564675
97,Darcy Fort,Brisbane,0.25473796023922135
352,Oscar Allen,Brisbane,0.12817727602687445
113,Eric Hipwood,Brisbane,0.12654427152511583
274,Lincoln McCarthy,Brisbane,0.12244315394989758
339,Noah Answerth,Brisbane,0.07432377962959591
98,Darcy Gardiner,Brisbane,0.07412091093339157
426,Ty Gallop,Brisbane,0.07011097254186593
200,James Tunstill,Brisbane,0.0662327951007553
101,Darragh Joyce,Brisbane,0.009587288739685396
396,Shadeau Brain,Brisbane,0.008499193750485134
387,Sam Marshall,Brisbane,0.007786658653965217
95,Daniel Annable,Brisbane,0.006198925364591101
460,Zane Zakostelsky,Brisbane,0.00443683194178679
79,Cody Curtin,Brisbane,0.0036749659646462263
439,Will McLachlan,Brisbane,0.0004156337423614209
661,Patrick Cripps,Carlton,20.62020084104389
641,Sam Walsh,Carlton,12.586875508065347
631,George Hewett,Carlton,11.566069270463222
626,Jagga Smith,Carlton,10.72533648327985
540,Oliver Florent,Carlton,3.664157556718045
519,Francis Evans,Carlton,3.4497073512489873
506,Ben Ainsworth,Carlton,3.2043711178339263
472,Harry McKay,Carlton,2.5556080783554673
485,Marc Pittonet,Carlton,2.11603544188586
546,Talor Byrne,Carlton,1.7384152166316216
436,Will Hayward,Carlton,1.388659773590064
464,Brodie Kemp,Carlton,1.1824143834695087
487,Matthew Carroll,Carlton,1.1662873732548724
40,Blake Acres,Carlton,1.1114852147879666
1,Adam Cerra,Carlton,0.9251577773893603
330,Nic Newman,Carlton,0.6200023570530534
333,Nick Haynes,Carlton,0.46427931105896236
39,Billy Wilson,Carlton,0.4442779080023336
317,Mitch McGovern,Carlton,0.42699147711034013
254,Lachlan Cowan,Carlton,0.3252574794383567
89,Cooper Lord,Carlton,0.2917873321079192
348,Oliver Hollands,Carlton,0.1758308975216808
110,Elijah Hollands,Carlton,0.1484693536500611
454,Zac Williams,Carlton,0.14618930263034524
430,Wade Derksen,Carlton,0.14582703639318928
302,Matthew Cottrell,Carlton,0.13996259208835293
265,Lewis Young,Carlton,0.1236022154937636
130,Harry Dean,Carlton,0.10199263492091093
182,Jacob Weitering,Carlton,0.0918265914997286
166,Jack Ison,Carlton,0.07056029135440212
272,Liam Reidy,Carlton,0.019687979058017224
65,Campbell Chesser,Carlton,0.014717700582743132
223,Jordan Boyd,Carlton,0.01444692989360441
120,Flynn Young,Carlton,0.010959153562608903
2,Adam Saad,Carlton,0.010388854447660467
25,Ashton Moir,Carlton,0.0042919801235467014
144,Hudson O'Keeffe,Carlton,0.004073699343488224
119,Flynn Riley,Carlton,0.002919986472567526
247,Lachie Fogarty,Carlton,0.0027773340152001946
667,Nick Daicos,Collingwood,36.53252262466355
614,Jordan de Goey,Collingwood,6.822899455169001
604,Darcy Cameron,Collingwood,6.66732909668103
615,Josh Daicos,Collingwood,5.524093729760936
570,Scott Pendlebury,Collingwood,3.546656628049961
576,Daniel McStay,Collingwood,3.5107458889998364
511,Dan Houston,Collingwood,2.8806241029940036
550,Beau McCreery,Collingwood,2.391371771053647
160,Jack Crisp,Collingwood,1.3742035439560842
495,Tim Membrey,Collingwood,1.2110659822138352
542,Patrick Lipinski,Collingwood,0.7485361422236185
250,Lachie Schultz,Collingwood,0.6332911947808285
108,Edward Allan,Collingwood,0.5428790045709587
478,Jeremy Howe,Collingwood,0.5321019054517632
397,Steele Sidebottom,Collingwood,0.5180798068358655
388,Sam Swadling,Collingwood,0.4189847495139739
369,Roan Steele,Collingwood,0.3923033255516768
51,Brayden Maynard,Collingwood,0.3827694860896843
326,Ned Long,Collingwood,0.37538842845263165
473,Harry Perryman,Collingwood,0.3441429465786975
203,Jamie Elliott,Collingwood,0.32098079126512535
154,Isaac Quaynor,Collingwood,0.2984981964224175
14,Angus Anderson,Collingwood,0.12653304695617884
38,Billy Frampton,Collingwood,0.10477530533011192
138,Harvey Harrison,Collingwood,0.04727193495289117
354,Oscar Steene,Collingwood,0.042583049907578
158,Jack Buller,Collingwood,0.03815682841068346
73,Charlie West,Collingwood,0.033915732210134664
444,William Hayes,Collingwood,0.023370224903882075
