,PlayerName,Team,PredictedVotes
659,Jordan Dawson,Adelaide,21.0
657,Izak Rankine,Adelaide,21.0
629,Wayne Milera,Adelaide,10.0
618,Sam Berry,Adelaide,8.0
599,Josh Rachele,Adelaide,6.0
586,Riley Thilthorpe,Adelaide,4.0
589,Taylor Walker,Adelaide,4.0
553,Darcy Fogarty,Adelaide,3.0
512,Daniel Curtin,Adelaide,2.0
535,Mark Keane,Adelaide,2.0
475,James Peatling,Adelaide,1.0
492,Rory Laird,Adelaide,1.0
483,Lachlan McAndrew,Adelaide,1.0
336,Nick Murray,Adelaide,0.0
353,Oscar Ryan,Adelaide,0.0
360,Reilly OBrien,Adelaide,0.0
407,Toby Murray,Adelaide,0.0
453,Zac Taylor,Adelaide,0.0
117,Finnbar Maley,Adelaide,0.0
151,Isaac Cumming,Adelaide,0.0
147,Hugo Hall-Kahan,Adelaide,0.0
145,Hugh Bond,Adelaide,0.0
33,Ben Keays,Adelaide,0.0
37,Billy Dowling,Adelaide,0.0
22,Archie Ludowyke,Adelaide,0.0
8,Alex Neal-Bullen,Adelaide,0.0
71,Charlie Edwards,Adelaide,0.0
74,Chayce Jones,Adelaide,0.0
49,Brayden Cook,Adelaide,0.0
59,Callum Ah Chee,Adelaide,0.0
282,Luke Nankervis,Adelaide,0.0
283,Luke Pedlar,Adelaide,0.0
322,Mitchell Hinge,Adelaide,0.0
311,Max Michalanney,Adelaide,0.0
193,Jake Soligo,Adelaide,0.0
195,James Borlase,Adelaide,0.0
234,Josh Worrell,Adelaide,0.0
226,Jordon Butts,Adelaide,0.0
664,Will Ashcroft,Brisbane,26.0
651,Lachie Neale,Brisbane,18.0
643,Zac Bailey,Brisbane,13.0
608,Logan Morris,Brisbane,7.0
577,Darcy Wilmot,Brisbane,4.0
578,Harris Andrews,Brisbane,4.0
583,Kai Lohmann,Brisbane,4.0
557,Jarrod Berry,Brisbane,3.0
555,Hugh McCluggage,Brisbane,3.0
508,Charlie Cameron,Brisbane,2.0
531,Levi Ashcroft,Brisbane,2.0
544,Ryan Lester,Brisbane,2.0
529,Josh Dunkley,Brisbane,2.0
383,Sam Draper,Brisbane,0.0
387,Sam Marshall,Brisbane,0.0
396,Shadeau Brain,Brisbane,0.0
339,Noah Answerth,Brisbane,0.0
352,Oscar Allen,Brisbane,0.0
439,Will McLachlan,Brisbane,0.0
460,Zane Zakostelsky,Brisbane,0.0
426,Ty Gallop,Brisbane,0.0
113,Eric Hipwood,Brisbane,0.0
102,Dayne Zorko,Brisbane,0.0
95,Daniel Annable,Brisbane,0.0
97,Darcy Fort,Brisbane,0.0
98,Darcy Gardiner,Brisbane,0.0
101,Darragh Joyce,Brisbane,0.0
84,Conor McKenna,Brisbane,0.0
79,Cody Curtin,Brisbane,0.0
63,Cam Rayner,Brisbane,0.0
55,Bruce Reville,Brisbane,0.0
274,Lincoln McCarthy,Brisbane,0.0
200,James Tunstill,Brisbane,0.0
204,Jaspa Fletcher,Brisbane,0.0
242,Keidean Coleman,Brisbane,0.0
661,Patrick Cripps,Carlton,22.0
641,Sam Walsh,Carlton,13.0
631,George Hewett,Carlton,11.0
626,Jagga Smith,Carlton,10.0
519,Francis Evans,Carlton,2.0
506,Ben Ainsworth,Carlton,2.0
546,Talor Byrne,Carlton,2.0
540,Oliver Florent,Carlton,2.0
472,Harry McKay,Carlton,1.0
464,Brodie Kemp,Carlton,1.0
487,Matthew Carroll,Carlton,1.0
485,Marc Pittonet,Carlton,1.0
348,Oliver Hollands,Carlton,0.0
436,Will Hayward,Carlton,0.0
454,Zac Williams,Carlton,0.0
1,Adam Cerra,Carlton,0.0
430,Wade Derksen,Carlton,0.0
333,Nick Haynes,Carlton,0.0
110,Elijah Hollands,Carlton,0.0
119,Flynn Riley,Carlton,0.0
120,Flynn Young,Carlton,0.0
89,Cooper Lord,Carlton,0.0
166,Jack Ison,Carlton,0.0
144,Hudson O'Keeffe,Carlton,0.0
130,Harry Dean,Carlton,0.0
25,Ashton Moir,Carlton,0.0
39,Billy Wilson,Carlton,0.0
2,Adam Saad,Carlton,0.0
40,Blake Acres,Carlton,0.0
65,Campbell Chesser,Carlton,0.0
272,Liam Reidy,Carlton,0.0
254,Lachlan Cowan,Carlton,0.0
265,Lewis Young,Carlton,0.0
317,Mitch McGovern,Carlton,0.0
330,Nic Newman,Carlton,0.0
302,Matthew Cottrell,Carlton,0.0
182,Jacob Weitering,Carlton,0.0
247,Lachie Fogarty,Carlton,0.0
223,Jordan Boyd,Carlton,0.0
667,Nick Daicos,Collingwood,42.0
614,Jordan de Goey,Collingwood,8.0
615,Josh Daicos,Collingwood,8.0
604,Darcy Cameron,Collingwood,7.0
576,Daniel McStay,Collingwood,4.0
550,Beau McCreery,Collingwood,3.0
570,Scott Pendlebury,Collingwood,3.0
511,Dan Houston,Collingwood,2.0
542,Patrick Lipinski,Collingwood,2.0
473,Harry Perryman,Collingwood,1.0
478,Jeremy Howe,Collingwood,1.0
495,Tim Membrey,Collingwood,1.0
369,Roan Steele,Collingwood,0.0
388,Sam Swadling,Collingwood,0.0
340,Noah Howes,Collingwood,0.0
354,Oscar Steene,Collingwood,0.0
397,Steele Sidebottom,Collingwood,0.0
444,William Hayes,Collingwood,0.0
432,Wil Parker,Collingwood,0.0
108,Edward Allan,Collingwood,0.0
99,Darcy Moore,Collingwood,0.0
154,Isaac Quaynor,Collingwood,0.0
158,Jack Buller,Collingwood,0.0
160,Jack Crisp,Collingwood,0.0
138,Harvey Harrison,Collingwood,0.0
38,Billy Frampton,Collingwood,0.0
14,Angus Anderson,Collingwood,0.0
73,Charlie West,Collingwood,0.0
51,Brayden Maynard,Collingwood,0.0
271,Liam Puncher,Collingwood,0.0
258,Lachlan Sullivan,Collingwood,0.0
319,Mitch Podhajski,Collingwood,0.0
326,Ned Long,Collingwood,0.0
250,Lachie Schultz,Collingwood,0.0
203,Jamie Elliott,Collingwood,0.0
594,Archie Roberts,Essendon,6.0
601,Zach Merrett,Essendon,6.0
591,Darcy Parish,Essendon,5.0
587,Sam Durham,Essendon,4.0
538,Nate Caddy,Essendon,2.0
539,Nick Bryan,Essendon,2.0
501,Will Setterfield,Essendon,1.0
375,Saad El-Hawli,Essendon,0.0
365,Rhys Unwin,Essendon,0.0
338,Nik Cox,Essendon,0.0
