,Name,Team,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Mean,Std,Median,5th,16th,84th,95th
322,Jordan Dawson,Adelaide,20.0,22.0,20.0,20.0,22.0,21.0,22.0,20.0,20.0,22.0,21.0,20.0,20.0,21.0,20.0,20.0,22.0,22.0,22.0,21.0,19.0,19.0,22.0,20.0,22.0,21.0,20.0,19.0,20.0,20.0,21.0,23.0,22.0,22.0,22.0,22.0,20.0,19.0,20.0,21.0,19.0,21.0,21.0,19.0,21.0,22.0,22.0,23.0,21.0,21.0,20.84,1.1131862707873232,21.0,19.0,20.0,22.0,22.0
434,Izak Rankine,Adelaide,21.0,20.0,19.0,22.0,19.0,20.0,20.0,22.0,20.0,20.0,19.0,20.0,19.0,19.0,22.0,19.0,20.0,19.0,20.0,19.0,19.0,20.0,20.0,19.0,21.0,20.0,20.0,20.0,20.0,21.0,21.0,20.0,20.0,19.0,20.0,20.0,20.0,21.0,20.0,20.0,21.0,20.0,21.0,21.0,20.0,20.0,21.0,20.0,20.0,20.0,20.08,0.8040712731125879,20.0,19.0,19.0,21.0,21.794999999999995
314,Wayne Milera,Adelaide,8.0,8.0,9.0,11.0,10.0,9.0,9.0,7.0,10.0,8.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,8.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,11.0,9.0,8.0,9.0,9.0,11.0,9.0,8.0,11.0,7.0,11.0,9.0,9.0,7.0,10.0,11.0,8.0,9.4,1.228903609577518,9.0,7.205,8.0,11.0,11.0
319,Sam Berry,Adelaide,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.52,0.677329690921697,8.0,8.0,8.0,9.0,9.794999999999995
326,Darcy Fogarty,Adelaide,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.98,0.14142135623730948,5.0,5.0,5.0,5.0,5.0
321,Josh Rachele,Adelaide,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.68,0.47121207149916117,5.0,4.0,4.0,5.0,5.0
324,Taylor Walker,Adelaide,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.02,0.14142135623730948,4.0,4.0,4.0,4.0,4.0
315,Riley Thilthorpe,Adelaide,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
325,James Peatling,Adelaide,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.04,0.19794866372215744,2.0,2.0,2.0,2.0,2.0
626,Mark Keane,Adelaide,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.94,0.3136356914300021,2.0,2.0,2.0,2.0,2.0
