,Name,Team,Sample 0,Mean,Std,Median,5th,16th,84th,95th
323,Jordan Dawson,Adelaide,8.957749007412023,8.957749007412023,,8.957749007412023,8.957749007412023,8.957749007412023,8.957749007412023,8.957749007412023
434,Izak Rankine,Adelaide,8.412411910420607,8.412411910420607,,8.412411910420607,8.412411910420607,8.412411910420607,8.412411910420607,8.412411910420607
320,Sam Berry,Adelaide,5.867652476217078,5.867652476217078,,5.867652476217078,5.867652476217078,5.867652476217078,5.867652476217078,5.867652476217078
314,Wayne Milera,Adelaide,4.476500294584476,4.476500294584476,,4.476500294584476,4.476500294584476,4.476500294584476,4.476500294584476,4.476500294584476
318,Josh Rachele,Adelaide,4.321466163241891,4.321466163241891,,4.321466163241891,4.321466163241891,4.321466163241891,4.321466163241891,4.321466163241891
324,James Peatling,Adelaide,3.818951261742001,3.818951261742001,,3.818951261742001,3.818951261742001,3.818951261742001,3.818951261742001,3.818951261742001
327,Lachlan McAndrew,Adelaide,3.4002139588807436,3.4002139588807436,,3.4002139588807436,3.4002139588807436,3.4002139588807436,3.4002139588807436,3.4002139588807436
317,Josh Worrell,Adelaide,3.3200508264710122,3.3200508264710122,,3.3200508264710122,3.3200508264710122,3.3200508264710122,3.3200508264710122,3.3200508264710122
315,Riley Thilthorpe,Adelaide,3.232413749539091,3.232413749539091,,3.232413749539091,3.232413749539091,3.232413749539091,3.232413749539091,3.232413749539091
319,Rory Laird,Adelaide,3.175661410574801,3.175661410574801,,3.175661410574801,3.175661410574801,3.175661410574801,3.175661410574801,3.175661410574801
316,Alex Neal-Bullen,Adelaide,2.9164467028408025,2.9164467028408025,,2.9164467028408025,2.9164467028408025,2.9164467028408025,2.9164467028408025,2.9164467028408025
330,Ben Keays,Adelaide,2.832677215112728,2.832677215112728,,2.832677215112728,2.832677215112728,2.832677215112728,2.832677215112728,2.832677215112728
