,Name,Team,Sample 0,Mean,Std,Median,5th,16th,84th,95th
434,Izak Rankine,Adelaide,22.0,22.0,,22.0,22.0,22.0,22.0,22.0
323,Jordan Dawson,Adelaide,22.0,22.0,,22.0,22.0,22.0,22.0,22.0
320,Sam Berry,Adelaide,10.0,10.0,,10.0,10.0,10.0,10.0,10.0
314,Wayne Milera,Adelaide,7.0,7.0,,7.0,7.0,7.0,7.0,7.0
318,Josh Rachele,Adelaide,5.0,5.0,,5.0,5.0,5.0,5.0,5.0
315,Riley Thilthorpe,Adelaide,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
325,Taylor Walker,Adelaide,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
328,Darcy Fogarty,Adelaide,3.0,3.0,,3.0,3.0,3.0,3.0,3.0
324,James Peatling,Adelaide,3.0,3.0,,3.0,3.0,3.0,3.0,3.0
626,Mark Keane,Adelaide,3.0,3.0,,3.0,3.0,3.0,3.0,3.0
319,Rory Laird,Adelaide,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
556,Daniel Curtin,Adelaide,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
327,Lachlan McAndrew,Adelaide,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
322,Isaac Cumming,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
321,Brayden Cook,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
316,Alex Neal-Bullen,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
317,Josh Worrell,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
326,Jake Soligo,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
331,Nick Murray,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
332,Hugh Bond,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
333,Luke Pedlar,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
335,Jordon Butts,Adelaide,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
